district,year,forest_km2,edge_km2,edge_ratio
Pirojpur,2020,637.6532592773438,402.96380615234375,0.6319481635035082
Bandarban,2020,4577.35791015625,195.70889282226562,0.04275586411716383
Brahamanbaria,2020,234.99293518066406,188.3494110107422,0.8015109512374828
Chandpur,2020,846.2371215820312,520.80224609375,0.6154329948562358
Chittagong,2020,2775.59130859375,1038.50634765625,0.37415679478489505
Comilla,2020,915.6433715820312,792.7710571289062,0.8658076733075362
Cox's Bazar,2020,938.7576904296875,349.94659423828125,0.37277627422482573
Feni,2020,371.7979736328125,259.3775634765625,0.6976303849701011
Khagrachhari,2020,2737.785400390625,193.4992218017578,0.07067727871371858
Lakshmipur,2020,651.2521362304688,300.9573974609375,0.4621211673913543
Noakhali,2020,952.6246948242188,579.0827026367188,0.6078812629810871
Rangamati,2020,4995.18408203125,366.5051574707031,0.07337170191366939
Dhaka,2020,408.69549560546875,269.5284118652344,0.6594846646546398
Faridpur,2020,714.77783203125,506.94708251953125,0.7092372759783176
Gazipur,2020,747.9913330078125,477.2461242675781,0.6380369707607206
Gopalganj,2020,732.075927734375,520.1932373046875,0.7105727938829773
Jamalpur,2020,147.5256805419922,130.8483123779297,0.886952779320917
Kishoreganj,2020,336.64031982421875,276.1740417480469,0.8203831373860827
Madaripur,2020,508.7200012207031,386.2689514160156,0.7592957825309421
Manikganj,2020,496.9329833984375,353.8573303222656,0.7120825989498573
Munshiganj,2020,311.4951477050781,226.62937927246094,0.7275534817866003
Mymensingh,2020,409.598876953125,347.67315673828125,0.8488137451071903
Narayanganj,2020,153.18896484375,118.6405258178711,0.7744717508789377
Narsingdi,2020,532.82080078125,298.92730712890625,0.5610278478066233
Netrakona,2020,66.25714111328125,63.93627166748047,0.9649717840702976
Rajbari,2020,281.2369689941406,198.58168029785156,0.7061009120105717
Shariatpur,2020,479.3105163574219,330.3421936035156,0.6892028910902915
Sherpur,2020,132.27964782714844,85.86387634277344,0.6491087461540032
Tangail,2020,945.2928466796875,617.1410522460938,0.6528570002552997
Bagerhat,2020,1511.72216796875,1010.010498046875,0.668119128929618
Chuadanga,2020,575.2005004882812,409.88702392578125,0.7125985175218602
Jessore,2020,775.239013671875,624.9612426757812,0.8061529820534808
Jhenaidah,2020,651.7667236328125,463.654052734375,0.7113803695746593
Khulna,2020,964.32080078125,757.7874755859375,0.785825085357499
Kushtia,2020,428.01544189453125,332.8513488769531,0.7776620100518994
