district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier,projected_loss_pct,projected_lo,projected_hi,projected_loss_km2,risk_tier,edge_ratio,nbr_loss_pct,net_change_km2
Pabna,269.3288269042969,431.3406066894531,478.72052001953125,1916.7005615234375,749.6563110351562,24.976281096251842,35.926973859847394,0.0,9.38156382242816,1.9364164353948647,9,recovering,81.19815826416016,33.666,27.066,0.8,False,Medium,26.6,Low,13.38,-3.47,30.22,64.05,High,0.7652007297385546,18.588256650063027,47.379913330078125
Rajshahi,348.8267822265625,566.7874755859375,259.5371398925781,2068.907958984375,640.1944580078125,12.544644084601263,54.48762916693441,0.0,-29.03622639973786,-7.509333006878211,9,declining,58.33918762207031,43.603,19.446,0.45,False,Medium,67.0,Medium,-20.24,-37.08,-3.4,-52.53,Low,0.7958177616989944,17.62325533018643,-307.2503356933594
Sirajganj,284.11358642578125,243.43954467773438,81.72291564941406,1635.6129150390625,390.52886962890625,4.996470430013835,72.75098168689951,0.0,-17.280953470863732,-9.622959432813813,9,declining,75.16859436035156,35.514,25.056,0.71,False,Medium,76.4,High,48.62,31.78,65.46,39.73,High,0.9255766606364361,8.135922313455092,-161.7166290283203
Dinajpur,276.08270263671875,240.51341247558594,39.21351623535156,3302.108154296875,312.1435241699219,1.1875297356425136,88.44735874976132,0.4209954016459898,-22.455986150104582,-21.75110424987795,9,declining,34.47796630859375,34.51,11.493,0.33,False,Medium,95.0,High,39.31,22.47,56.15,15.41,High,0.9194353898230162,58.982010272475726,-201.29989624023438
Gaibandha,132.4400177001953,107.1689224243164,16.383790969848633,1680.821533203125,148.76724243164062,0.9747489930490243,89.02498664049126,0.0,-9.221147696176581,-17.586075175986213,9,declining,30.454978942871094,16.555,10.152,0.61,False,Medium,86.6,High,42.66,25.81,59.5,6.99,High,0.9965519670074768,37.83452983011528,-90.78513145446777
Kurigram,345.0479736328125,320.2340087890625,85.03541564941406,1481.4068603515625,410.82830810546875,5.740179684953919,83.98836370940413,0.0,-28.913688405352392,-16.11786543277221,9,declining,77.51557922363281,43.131,25.839,0.6,False,Medium,79.7,High,35.15,18.31,52.0,29.89,High,0.9397300965156083,41.37068326737332,-235.19859313964844
Lalmonirhat,355.3788757324219,291.2484130859375,37.68781661987305,1136.88134765625,382.33697509765625,3.3150175871535557,92.94912573957862,0.0,-34.293507544196274,-23.382781946286453,9,declining,64.99576568603516,44.422,21.665,0.49,False,Medium,84.5,High,33.32,16.48,50.16,12.56,High,0.982131930987329,56.27397637759464,-253.56059646606445
Nilphamari,314.9493713378906,248.84230041503906,16.12236785888672,1577.829345703125,325.9605712890625,1.0218068197801289,96.62192273512518,0.0,-27.6865793069187,-30.103776874543886,9,declining,30.501209259033203,39.369,10.167,0.26,False,Medium,88.0,High,14.39,-2.45,31.23,2.32,High,1.0,49.141928543859045,-232.71993255615234
Panchagarh,227.20236206054688,228.4714813232422,51.994598388671875,1350.615478515625,277.4047546386719,3.849696617264879,81.90283629294129,0.0,-19.592341613768752,-18.577206390467506,9,declining,25.359535217285156,28.4,8.453,0.3,False,Medium,80.5,High,16.31,-0.54,33.15,8.48,High,0.8902319077991664,57.490151427521965,-176.4768829345703
Rangpur,435.53466796875,365.4582824707031,53.392093658447266,2233.93310546875,484.931396484375,2.3900489019900135,89.81366666012177,0.0,-37.4152243296273,-20.48387762420386,9,declining,93.56549072265625,54.442,31.188,0.57,False,Medium,84.4,High,75.35,58.5,92.19,40.23,High,0.9789088164492384,54.45190283026754,-312.06618881225586
Thakurgaon,407.8341979980469,321.4164733886719,13.602194786071777,1778.8629150390625,417.6734924316406,0.7646567181245152,97.64426169917783,0.0,-38.5755773385338,-32.23171995359297,9,declining,34.624595642089844,50.979,11.542,0.23,False,Medium,89.5,High,14.28,-2.56,31.13,1.94,High,0.9421206785279468,35.97001819097963,-307.8142786026001
Barguna,152.5667724609375,167.90054321289062,83.66199493408203,1207.7437744140625,281.0807189941406,6.92713112718554,54.27863320077742,0.0,-11.879838562008768,-6.956068834386912,9,declining,56.80438232421875,19.071,18.935,0.99,False,Medium,69.2,Medium,63.87,47.03,80.71,53.43,High,0.9820142635087721,29.794871443708878,-84.2385482788086
